DateTime,IS 210: Peak at 1.941 minutes,SM1 piperazine-1MS(D+)mz 163.00: Peak at 1.920 minutes,PDT product 1-1MS(D+)mz 284.00: Peak at 1.900 minutes,SM2 F-NO2-Benzene 310: Peak at 1.468 minutes,PDT product 190: Peak at 1.852 minutes,Events
1/15/2025 08:59:17.621,1677163.568,-59880.25715,42265.54813,-69.25801398,6350.591447,
1/15/2025 09:06:20.881,1677277.997,-25216.26145,73193.58674,-149.9905266,9164.342738,
1/15/2025 09:14:22.802,1667218.192,-54078.52894,-56214.84024,-118.1120638,18732.00115,
1/15/2025 09:21:09.028,1693930.591,-11255.92179,7488.447085,-82.53213269,11675.89843,
1/15/2025 09:27:57.578,1693845.656,-97438.41634,31878.61352,-147.622779,6239.535434,
1/15/2025 09:34:48.449,1697475.547,-111420.3397,15787.95177,-82.17179282,13368.29005,Sample 6 acquired at 00:37:41
1/15/2025 09:38:13.431,1680726.099,70214254.33,-3728.340325,-78.93624314,5218.475554,charge piperidine
1/15/2025 09:41:36.973,1664094.325,140045855.2,-23107.5205,-75.72342485,-2874.082336,
1/15/2025 09:48:23.035,1677586.162,139009023.2,11578.22724,-128.0870076,-4241.98886,Sample 8 acquired at 00:51:15
1/15/2025 09:55:11.002,1696715.827,143213804.3,14712.92425,-158.0853822,-7939.030246,
1/15/2025 10:01:55.362,782706.7155,69904563.27,2832.737641,-47.60279932,20502.37207,2.8 push
1/15/2025 10:03:55.663,510781.3268,48094448.22,-701.717674,-14.7333028,28963.92818,Sample 10 acquired at 01:06:48
1/15/2025 10:11:01.157,515286.0082,47025423.72,29077.74493,124.9790584,15696.47619,Sample 11 acquired at 01:13:53
1/15/2025 10:18:06.926,514856.5332,46080108.66,45545.88691,91.39823315,15617.40515,
1/15/2025 10:22:08.908,507049.3853,70170608.77,27114.97063,-3.402851786,14534.92155,charge 2nd piperidine
1/15/2025 10:25:12.363,501130.5484,88434351.4,13141.93107,-75.27444465,13714.25772,
1/15/2025 10:32:17.428,520156.4426,92633835.53,-6973.665068,-70.24858879,13306.09092,
1/15/2025 10:39:25.237,506056.9614,86820994.18,33958.33002,-62.82828462,12082.78566,
1/15/2025 10:45:11.236,507684.4051,89421793.51,1982246.179,41920.70707,36521.06051,charge f-no2-benzene
1/15/2025 10:47:26.090,508318.7041,90435459.48,2741594.694,58283.86163,46045.91984,
1/15/2025 10:54:32.957,510200.484,87798348.5,8070423.145,55962.06642,102190.7085,
1/15/2025 11:01:38.530,494680.5112,84606822.25,12317771.35,51975.76441,160084.3499,
1/15/2025 11:08:43.703,528558.061,86773872.71,15033491.27,53130.33045,225213.8045,Sample 19 acquired at 02:11:36
1/15/2025 11:15:50.852,514732.2292,82820919.54,17988022.07,50070.62714,274121.2084,
1/15/2025 11:22:57.527,509374.2937,84020651.83,19463439.47,47571.30169,320705.0017,
1/15/2025 11:30:04.689,518173.356,78233808.81,21089638.51,45944.62202,364431.0175,
1/15/2025 11:37:11.075,511408.2723,78920659.01,23037462.23,44216.09817,413464.1418,
1/15/2025 11:44:16.624,519554.017,76726419.15,24351041.2,42433.09287,447053.388,
1/15/2025 11:51:24.411,523776.3234,77152804.3,26580281.61,41303.71951,494054.2777,Sample 25 acquired at 02:54:17
1/15/2025 11:58:31.164,504271.896,73553200.94,27287969.95,38393.0247,506777.8153,
1/15/2025 12:05:36.574,507992.3341,72576491.45,27332423.26,38059.36215,559815.2156,
1/15/2025 12:12:42.233,518831.8789,72099719.79,29662421.78,36667.54761,587948.3582,
1/15/2025 12:19:46.526,504343.3221,70762512.62,29394408.22,35041.07414,612436.0823,
1/15/2025 12:26:50.915,530694.9212,73860863.79,31257561.59,35636.39821,673945.8602,
1/15/2025 12:33:55.279,514686.6481,70951423.1,32112475.76,33956.90528,689396.64,
1/15/2025 12:41:00.720,485449.1869,67788734.67,30459406.79,31500.81448,679033.156,
1/15/2025 12:48:07.189,500391.0225,68181394.79,33847424.29,30450.22838,707199.8739,
1/15/2025 12:55:11.716,498443.1265,64646792.16,33513072.65,29963.6534,739073.6592,Sample 34 acquired at 03:58:04
1/15/2025 13:02:15.943,509064.9667,66731813.94,33609477.91,28941.48373,758670.4466,
1/15/2025 13:09:22.632,514327.0805,65329575.62,33545674.8,28411.76413,790114.5376,
1/15/2025 13:16:29.715,488642.5738,62416314.06,33583626.76,26582.72603,772776.5119,
1/15/2025 13:23:35.622,474691.4473,61631564.58,34196621.58,25832.21113,791070.052,
1/15/2025 13:24:56.885,480193.9265,61606167.29,34908296.98,36756.08479,806639.056,added another 0.43 mL of F-NO2-benzene
1/15/2025 13:30:42.081,503567.4843,61498284.11,37931368.13,83158.76647,872773.4294,
1/15/2025 13:37:48.757,500729.4898,59299866.14,37949542.07,81563.5245,934591.7547,
1/15/2025 13:44:55.166,516676.5109,57388689.54,38736340.14,80861.66246,993982.2093,
1/15/2025 13:52:02.066,512286.5527,55831589.58,41806452.21,77985.81328,1035722.562,
1/15/2025 13:59:12.011,494521.4874,50134008.59,41555004.21,73729.18492,1042378.175,
1/15/2025 14:06:18.919,500328.4059,49999021.68,45570269.15,72549.63068,1091041.258,
1/15/2025 14:13:25.557,744626.6243,74179977.86,51932296.53,108803.5672,1709517.958,
1/15/2025 14:20:31.480,495353.059,47112719.28,43365884.24,69712.56808,1177728.024,
1/15/2025 14:27:37.066,506972.0091,47981677.9,47336103.19,69345.15113,1229946.567,
1/15/2025 14:34:43.637,461424.4073,42897144.47,46876360.69,62803.91049,1155061.687,Sample 48 acquired at 05:37:36
1/15/2025 14:41:50.371,462764.9705,42015295.95,49459250.46,60980.5501,1175629.854,
1/15/2025 14:48:57.298,520439.0585,44646380.99,47520813.31,67310.94624,1369672.304,
1/15/2025 14:56:04.914,500092.3257,43205421.73,47010862.64,64869.92163,1373141.577,
1/15/2025 15:03:15.171,494787.8565,41716043.25,49619620.24,62446.72308,1372062.894,
1/15/2025 15:10:22.226,524905.0232,41228570.9,53474024.75,63663.69376,1445482.945,
1/15/2025 15:17:28.670,509733.5658,40010189.16,51635833.73,62002.85827,1466057.411,
1/15/2025 15:24:35.818,512666.5944,38378783.34,48715861.28,60546.83839,1467176.19,
1/15/2025 15:31:42.235,493964.7614,37683064.62,51378307.33,58340.70745,1467181.316,
1/15/2025 15:38:48.935,496252.3791,37549666.47,49935836.09,57639.63248,1483599.383,
1/15/2025 15:45:56.560,494350.9399,35854053.76,51248098.73,57670.40839,1538743.879,Sample 58 acquired at 06:48:49
1/15/2025 15:53:04.341,507070.2844,35379109.43,52714522.81,56540.79875,1541994.229,
1/15/2025 16:00:10.497,509838.9949,34243433.36,53054407.11,56243.81223,1575377.309,
1/15/2025 16:07:16.667,500169.1262,33981893.1,53752133.52,55117.70737,1583888.37,
