DateTime,IS 210: Peak at 1.941 minutes,SM1 Fmoc-Phe UV Ch1 210: Peak at 1.702 minutes,SM1 Fmoc-Phe 1-1MS(D+)mz 388.00: Peak at 1.755 minutes,SM2 Anisidine 190: Peak at 1.102 minutes,SM2 Anisidine 1-1MS(D+)mz 124.00: Peak at 1.158 minutes,PDT Product 1-1MS(D+)mz 493.00: Peak at 1.894 minutes,PDT product 210: Peak at 1.832 minutes,Events
1/16/2025 15:59:27.812,574818.4359,2121448.116,4574235.81,2135226.729,7866410.392,-2550.326982,-4746.998541,
1/16/2025 16:00:58.803,568461.5105,2021231.04,4330722.742,1888326.837,7201924.22,1195968.343,232190.2041,Charge DIC
1/16/2025 16:04:37.668,553170.9225,1780174.563,3744990.209,1294447.827,5603606.835,4078817.234,802105.5245,
1/16/2025 16:09:47.258,556145.9672,1509227.482,3263165.037,784214.1918,4023517.624,4761141.946,1313366.111,
1/16/2025 16:14:57.520,558339.0552,1309295.842,2956972.705,473509.912,3228616.836,5012432.999,1592422.165,
1/16/2025 16:20:07.129,559552.3621,1150827.103,2582799.972,270245.4521,2342851.327,4887601.474,1754195.901,
1/16/2025 16:25:17.374,553008.5057,1017045.291,2553550.126,92980.85427,1755530.493,5133927.783,1844895.942,
1/16/2025 16:30:26.899,557093.5736,917618.0518,2321514.854,939.1102733,1143739.227,5277058.058,1926419.625,
1/16/2025 16:35:36.791,557550.3927,831772.9217,2200207.243,-93231.0117,689627.7742,5419605.343,1997285.691,
1/16/2025 16:40:46.837,558818.2062,764665.7171,2091514.764,-129362.5797,289575.2959,5276411.967,2043539.577,
1/16/2025 16:45:56.520,554910.9511,728994.893,2067672,-170947.7927,83270.43933,5509754.675,2033766.283,
1/16/2025 16:51:06.750,552833.1818,704586.631,1952469.209,-187515.7726,36584.13888,5570617.185,2030670.523,
1/16/2025 16:56:16.546,557600.2125,686508.9631,1946329.393,-158709.0983,33614.92295,5407925.479,2039098.66,
1/16/2025 17:01:25.956,558115.5992,671027.1467,2017058.256,-181049.6535,13476.17632,5279609.235,2043058.468,
1/16/2025 17:06:34.663,552163.5492,665834.1423,1846749.66,-178839.3901,14719.6766,5529556.938,2037092.433,
1/16/2025 17:11:43.715,551573.1403,652796.7953,1854117.126,-181704.3364,11125.22629,5582813.787,2031061.163,
1/16/2025 17:16:52.676,554559.8856,639941.8052,1801781.765,-184853.7911,21941.47652,5308117.349,2033300.853,
1/16/2025 17:22:01.591,544387.9727,628908.5545,1845874.119,-180363.7656,19465.85087,5573293.149,2002793.833,
1/16/2025 17:27:10.095,524914.2642,600177.1724,1805744.266,-194006.2998,23042.34401,5453108.836,1955414.168,
1/16/2025 17:32:20.162,537440.2455,594211.2013,1835492.667,-162056.7392,18340.43331,5480041.226,1988046.014,
1/16/2025 17:37:29.083,530468.9471,581132.6213,1783723.267,-176789.056,8119.5734,5454750.231,1971094.864,
1/16/2025 17:42:36.666,529884.2178,577984.7264,1791920.144,-171339.7545,8550.894179,5342146.103,2011910.295,
1/16/2025 17:47:45.257,526696.3158,577233.7418,1718781.569,-184366.0094,17817.41626,5448091.963,1959848.514,
1/16/2025 17:52:55.017,529440.9624,566451.5342,1628063.263,-179345.5798,15171.7728,5402784.319,1934463.132,
1/16/2025 17:58:04.135,524878.9788,560505.4172,1707522.468,-133021.9074,15614.33673,5523969.776,2042413.119,
1/16/2025 18:03:12.255,532564.3616,559077.1819,1696134.615,-156887.3528,17888.40923,5324711.098,1977849.449,
