DateTime,SM1 Fmoc-Phe UV Ch1 210: Peak at 1.702 minutes,SM2 Anisidine 190: Peak at 1.102 minutes,PDT 210: Peak at 1.832 minutes,SM1 Fmoc-Phe 1-1MS(D+)mz 388.00,SM2 Anisidine 1-1MS(D+)mz 124.00,PDT 1-1MS(D+)mz 493.00s,Events
1/27/2025 12:02:49.920,1308720.893,1000061.056,-25763.65045,651249.1607,2296260.405,74592.25729,
1/27/2025 12:03:02.762,1299869.77,990217.2092,-18706.38868,647711.0779,2279906.587,153148.5206,ADDED DIC 
1/27/2025 12:07:57.434,1096773.776,764342.364,143228.0567,566526.9731,1904655.324,1955684.027,
1/27/2025 12:13:05.051,1009210.916,689284.092,289441.7922,520382.1845,1656525.91,2500655.59,
1/27/2025 12:18:12.627,930765.4374,593332.4296,386519.435,508974.29,1495421.98,2590162.253,
1/27/2025 12:23:19.970,868464.512,526010.7357,475905.3765,496518.4624,1471764.575,2917440.893,
1/27/2025 12:28:28.021,810574.282,457914.1751,541922.6322,464322.5915,1277360.479,3060646.222,
1/27/2025 12:33:37.094,769136.8774,424380.2107,624344.2453,429242.6208,1206899.49,3162637.353,
1/27/2025 12:38:44.995,729039.7723,381029.8176,687456.496,416086.0088,1142250.008,3247962.931,
1/27/2025 12:43:53.021,683784.6147,337220.0432,727629.024,394633.7876,964385.4537,3333440.287,
1/27/2025 12:49:02.114,646134.3732,301118.6841,760210.9995,437080.5584,917729.2074,3713128.867,
1/27/2025 12:54:09.993,611985.7713,258720.9788,784991.3721,368741.3583,883852.5309,3303326.65,
1/27/2025 12:59:19.782,581927.5983,246027.5263,832860.5642,378636.6018,776730.898,3449917.498,
1/27/2025 13:04:28.494,562347.2345,215464.4865,855290.2253,344339.7354,797029.5168,3454697.309,
1/27/2025 13:09:36.121,534218.6427,200885.8205,896028.7214,339764.2972,684301.451,3564287.109,
1/27/2025 13:14:43.817,509801.7505,178974.7328,907687.9519,324987.437,609503.0169,3531872.818,
1/27/2025 13:19:52.061,491943.33,159481.4499,929872.7187,329246.2044,651662.2045,3564535.316,
1/27/2025 13:24:59.474,473753.0784,144281.7491,958563.3358,313031.7563,577786.7116,3592723.938,
1/27/2025 13:30:07.717,452786.2783,124248.2901,967316.1394,296385.302,547049.2078,3727516.666,
1/27/2025 13:35:15.408,436814.6859,112288.3527,989640.6347,302964.6331,511099.5821,3687731.004,
1/27/2025 13:40:23.180,423497.0598,97266.06447,1009543.545,273982.0321,490600.5601,3568502.19,
1/27/2025 13:45:30.658,409345.3651,86295.59294,1020175.618,278269.3089,469381.9517,3665899.785,
1/27/2025 13:50:38.767,395609.3221,73772.6197,1027582.453,274086.1451,439857.328,3700227.537,
1/27/2025 13:55:45.794,385483.4332,65856.06899,1044554.805,267243.6544,392640.6381,3792371.474,
1/27/2025 14:00:54.552,369109.1969,50651.0128,1047328.671,251803.4367,398609.3093,3633633.014,
1/27/2025 14:06:05.774,360541.8193,46962.14499,1073195.48,251854.3376,351480.642,3627679.915,
