DateTime,SM1 Fmoc-Phe UV Ch1 210: Peak at 1.702 minutes,PDT 210: Peak at 1.832 minutes,SM1 Fmoc-Phe 1-1MS(D+)mz 388.00,SM2 Anisidine 1-1MS(D+)mz 124.00,PDT 1-1MS(D+)mz 493.00,SM2 Anisidine 190: Peak at 1.102 minutes,Events
1/28/2025 10:36:52.127,1329949.186,-9996.984171,380491.3338,2392915.627,1094.855619,1058033.944,
1/28/2025 10:36:59.166,1324748.609,-6230.184702,385804.0747,2384629.266,47198.68692,1051877.676,Added DIC
1/28/2025 10:42:00.861,1101849.408,155216.6264,613510.6701,2029471.897,2023230.754,788017.1006,
1/28/2025 10:47:10.225,1012001.505,274879.6168,302995.9904,1783626.143,2598866.634,643125.9876,
1/28/2025 10:52:21.756,942180.2881,393801.508,184326.0979,1614371.312,2817209.047,588488.8148,
1/28/2025 10:57:32.618,883567.8167,488172.696,182176.4318,1519996.154,2972624.181,530930.9381,
1/28/2025 11:02:41.521,827750.4848,568328.1401,205096.9939,1376113.207,3102778.86,484977.6299,
1/28/2025 11:07:52.286,786600.5583,632485.6453,235461.1175,1263934.098,3162298.433,440850.9207,
1/28/2025 11:13:02.298,738897.3819,694680.5526,157427.2898,1173461.754,3086912.84,396939.3492,
1/28/2025 11:18:11.609,699360.5355,732769.3976,234182.0292,1110674.974,3224409.544,350734.2002,
1/28/2025 11:23:22.234,667403.8006,779940.1977,158584.9096,1030825.897,3342791.234,318732.8727,
1/28/2025 11:28:32.827,634465.4435,816419.0343,199333.9315,991071.0968,3377326.5,286658.1146,
1/28/2025 11:33:42.238,605180.7406,844230.958,92677.37982,882103.9599,3454329.617,255840.9989,
1/28/2025 11:38:51.882,574691.7743,860140.2807,155952.0181,836638.6668,3483579.323,224756.1381,
1/28/2025 11:44:02.471,554913.2326,899041.8215,157480.5453,722696.4435,3502191.387,213821.1616,
1/28/2025 11:49:12.402,534349.4528,929083.715,90621.97184,700308.346,3573265.837,192928.8021,
1/28/2025 11:54:22.990,510197.3499,936156.7227,123219.4323,697610.7364,3527024.363,169495.6458,
1/28/2025 11:59:32.419,497427.4684,974848.6236,98943.154,651723.8511,3560012.378,156633.2251,
1/28/2025 12:04:41.832,476807.056,990397.613,93685.7368,605031.0558,3426395.185,141292.533,
1/28/2025 12:09:51.674,460484.9805,1002386.84,113707.639,559445.9959,3796493.288,126113.6206,
1/28/2025 12:15:02.733,445886.1413,1016914.962,102920.982,531397.9554,3568745.13,110413.4956,
1/28/2025 12:20:12.995,430546.0178,1036515.641,96548.53189,518851.4806,3539563.595,101159.3822,
1/28/2025 12:25:22.679,415369.4954,1053155.595,67263.04713,497708.2184,3830831.997,88570.59343,
1/28/2025 12:30:32.061,403336.4372,1051207.952,87486.85914,437943.9112,3582279.623,78101.84574,
1/28/2025 12:35:43.830,390993.9259,1061182.036,67479.77884,411054.9339,3764480.168,68573.0576,
1/28/2025 12:40:56.828,377657.0545,1061425.915,77495.65865,404707.9609,3561862.763,63724.75285,
