DateTime,SM1 Phenyl grignard 210: Peak at 1.537 minutes,SM2 Bromide 210: Peak at 1.869 minutes,PDT 210: Peak at 1.961 minutes,Events
1/29/2025 12:39:04.135,1650.322838,921365.0564,-8693.339842,
1/29/2025 12:45:09.745,184864.332,471627.0162,684601.7508,Sample 4 acquired at 00:20:45
1/29/2025 12:51:14.986,183241.1053,455358.5594,760775.5723,
1/29/2025 12:57:21.552,179430.482,442139.1822,788878.6349,
1/29/2025 13:03:30.296,177340.5274,434730.4444,808996.7713,
1/29/2025 13:09:38.169,178835.1484,430010.8734,844489.7875,
1/29/2025 13:15:48.002,172677.3774,406688.5161,829031.4483,
1/29/2025 13:20:12.174,171355.1632,402564.905,852483.119,increase temp to 60 C
1/29/2025 13:21:54.955,170840.738,400960.5588,861607.3059,
1/29/2025 13:27:58.316,167780.7557,387352.6515,894837.031,Sample 11 acquired at 01:03:34
1/29/2025 13:34:03.931,167845.6564,380167.6319,939486.9438,
